aaa	bbb	ccc	ddd	eee	fff	ggg	hhh	abc	bbb	xxx	sss	qqq	CODE	zzz	rrr	ttt	ooo	iii	ppp
3	90228	5322200	51859162235		08-Jul-2001 16:21:45	19-Feb-2014 10:14:11	3787266	4358900	H	MYB_CTA	9699746				2341bc06-cebc-42b3-adcb-100c960a8382	j.turner@randatmail.com			09-Oct-2019 13:53:17
10	56808	7393715	81597470938		30-Apr-1995 12:32:39	09-Apr-2021 03:25:58	655519	165111	H	MYB_CTA	6136767				d5f66d4f-872f-4bcf-b8a0-68a4bcb65652	v.mitchell@randatmail.com			27-Jul-2000 15:16:36
7	62916	1340178	55224721137		17-Jul-1999 00:22:08	12-Jan-2008 23:51:57	3213569	1550723	H	MYB_CTA	5727693				204137f6-8e2b-488b-8ece-be7cf0b7687c	j.ferguson@randatmail.com			31-May-2018 10:11:51
8	70239	6772153	10127430027		27-Oct-2004 14:02:50	11-Dec-2021 02:07:34	1985807	4909034	H	MYB_CTA	3994547				9b81367e-0d27-4a41-929d-a6dd8a45877b	f.brown@randatmail.com			21-Nov-2010 09:06:55
1	38999	4090241	2520102490		18-Aug-1992 08:46:00	06-Apr-2008 13:45:44	7496129	3169114	H	MYB_CTA	2378690				48e4bdb0-4e1f-4c12-9223-a9658e8dda9c	b.carter@randatmail.com			31-Dec-2017 07:19:27
1	89981	5952877	23874155886		19-Sep-2003 23:15:26	28-Apr-2005 20:15:27	1090879	6978613	H	MYB_CTA	7635905				19237fbd-3f86-471d-bba9-73fe974457c7	a.brown@randatmail.com			23-Jul-2002 10:04:11
1	48846	9122063	47190602625		18-Mar-1992 10:56:10	07-Oct-2017 10:49:47	883094	9406899	H	MYB_CTA	5669044				78b94b26-7bb0-4d8f-8652-e2780ca097cd	d.hall@randatmail.com			19-Sep-2001 00:39:04
6	23387	4611025	66216031629		03-Dec-1993 02:05:05	11-Feb-2020 20:24:32	9708705	1095199	H	MYB_CTA	854619				2ae03d61-a831-42af-a7a9-f027ceaee214	i.perry@randatmail.com			10-Jul-2004 04:48:40
2	87981	132617	90944302140		15-Jun-2009 10:05:08	19-Apr-2016 13:32:14	7810442	3259653	H	MYB_CTA	9759166				c66f07ab-2f5c-47a2-9583-eba844e5147d	j.elliott@randatmail.com			19-May-2019 15:00:59
8	28214	7601508	35590817749		17-Nov-2006 07:33:34	20-Oct-2010 17:16:11	6763887	5186055	H	MYB_CTA	5791615				f5241fc5-3edb-4e05-b01e-e9f1f6408344	v.gibson@randatmail.com			18-Sep-2005 20:54:36
10	3083	4547367	89401520854		17-Nov-1995 02:21:47	06-Nov-2016 03:58:07	9756562	2265259	H	MYB_CTA	5573078				27caaaba-37a7-4890-9b46-b0ee65cb8d8d	a.elliott@randatmail.com			28-Aug-2002 13:52:59
5	88010	1666123	25375362575		19-Aug-1994 02:14:29	31-May-2004 02:18:41	6000374	2408170	H	MYB_CTA	413449				15ac1019-77d7-4f55-9fe7-af0f17184417	l.allen@randatmail.com			08-Jun-2020 02:34:13
3	24014	473835	75827563039		27-Feb-2009 10:38:40	11-Mar-2011 08:24:29	7751324	1472651	H	MYB_CTA	7664686				6b9289ae-04d4-4fc2-b239-a5419fdc7a9e	d.turner@randatmail.com			25-Mar-2008 23:52:45
6	11716	8410446	89155304329		29-Jul-1995 15:25:35	21-Jun-2021 11:10:35	6606034	90181	H	MYB_CTA	1611851				c4c70674-981f-4099-8033-2ffeb7472bd9	e.payne@randatmail.com			31-Oct-2002 00:53:09
3	55783	4268733	28589170306		29-Jan-2009 23:33:50	20-Feb-2009 15:29:28	8133901	3950409	H	MYB_CTA	284276				58361b59-5aea-4ee5-99d6-8288dfe54a60	n.cole@randatmail.com			07-Mar-2020 13:27:50
9	24708	4122398	92879968877		28-Jun-1994 18:52:50	27-Dec-2016 14:11:51	4015259	3819495	H	MYB_CTA	18294				e24ca2fc-266e-4d8e-a27a-a530d368030f	a.ferguson@randatmail.com			22-Feb-2001 13:58:44
7	71547	2763445	36769898548		24-May-1999 01:37:43	26-Jul-2020 17:53:48	7796098	8608694	H	MYB_CTA	8051284				fa5c768c-adc8-4d65-9ac7-a1c8eb60558c	i.robinson@randatmail.com			08-Nov-2016 04:50:30
6	37739	2247351	41162646664		17-Jul-2004 04:35:36	12-Apr-2004 05:07:42	8292881	7572564	H	MYB_CTA	8238190				4d53a26a-686f-4ed2-a067-e0c31df0d8a7	j.ferguson@randatmail.com			19-Jan-2004 04:40:13
5	73170	5056270	60218302388		19-Sep-1991 14:25:12	22-Aug-2000 10:24:04	6218109	1263005	H	MYB_CTA	2003518				66b83c8f-8322-493c-837f-d1b2cb1ce01b	t.dixon@randatmail.com			09-Dec-2004 03:09:05
4	68546	3003010	11928445967		06-Aug-2006 17:06:21	11-May-2021 13:15:48	2702259	5281726	H	MYB_CTA	5907047				995665d4-52ad-47b5-91be-8d14105fefe7	h.campbell@randatmail.com			11-Dec-2007 20:46:01
3	63331	6694830	79575529297		14-Feb-2001 12:12:48	25-Jul-2019 09:18:00	4682563	2290795	H	MYB_CTA	6453605				683a74cd-8a01-40b7-bf43-e2e51a0aabbd	n.tucker@randatmail.com			08-Jan-2001 23:36:22
2	79464	3699430	89547417248		31-Jul-2000 16:54:07	06-Aug-2012 09:49:43	2486326	8996619	H	MYB_CTA	3720164				6060ef79-bed5-40ff-90c5-5d4aa91e3e9d	g.roberts@randatmail.com			26-Oct-2021 22:00:37
6	88357	6835071	61335152224		02-Nov-2004 15:57:52	14-Jul-2012 13:26:13	4330273	6086117	H	MYB_CTA	6230284				93a12001-7baa-4a1d-8394-e2df3e2f998c	w.crawford@randatmail.com			22-Nov-2008 08:47:43
3	4301	9426508	57462497460		02-Mar-1992 15:02:58	16-Apr-2007 08:23:07	6329858	6557593	H	MYB_CTA	1649503				1afca248-bdc1-41c6-943c-a3d8ce12bfc6	e.howard@randatmail.com			05-May-2019 09:49:13
4	52209	4812604	22506098693		29-Mar-2004 13:46:23	16-Jul-2016 04:02:14	9212160	4686699	H	MYB_CTA	2169874				95dd2a80-6d57-4470-95e3-0108a5097649	e.montgomery@randatmail.com			30-Aug-2010 10:49:52
7	36286	8679406	60879114131		20-Dec-2003 11:08:29	01-Oct-2015 17:11:51	7307412	9725882	H	MYB_CTA	8585347				dfbb053b-575a-48bf-8db5-275614489ea2	m.ross@randatmail.com			14-May-2021 10:23:28
6	55447	4432465	25514299241		11-Nov-1994 22:43:12	02-Aug-2013 04:28:38	8224078	9565331	H	MYB_CTA	8033273				12faf1a6-3f22-4213-af97-8c37828fe48d	t.holmes@randatmail.com			06-May-2003 18:58:25
1	62292	2412239	68206208259		04-Sep-1992 06:15:09	12-Sep-2002 17:24:18	5463751	4155825	H	MYB_CTA	9679636				66d18dc1-3186-4b5e-b608-0e4eb8e302b0	a.baker@randatmail.com			22-Jun-2010 03:43:06
9	72031	4481835	27509333838		11-Apr-1994 12:51:13	21-Nov-2014 11:20:09	2549063	1292824	H	MYB_CTA	2152416				23e68b8b-7bcd-4b11-ae24-be8a91199090	e.craig@randatmail.com			29-Sep-2008 15:32:01
1	1724	8793100	68073978244		30-Sep-2003 20:53:22	10-Jul-2019 11:13:22	4172050	4791369	H	MYB_CTA	7865190				c783de40-8593-431a-994f-21116592e365	m.ross@randatmail.com			13-Aug-2020 20:27:22
6	70061	6694102	17291750856		25-Mar-2006 23:25:43	24-Aug-2009 13:08:35	2239113	1357684	H	MYB_CTA	6124620				86039684-4115-49d8-9e02-88c083162e04	a.gibson@randatmail.com			29-Feb-2000 08:39:32
