aaa	bbb	ccc	ddd	eee	fff	ggg	hhh	abc	email	EMAIL_FORMAT	SOME_TYPE	qqq	CODE	zzz	rrr	ttt	ooo	EMAIL_ADDRESS_	ppp	mmm	nnnn
8	18684	9764264	3489455708		14-Jul-1999 15:53:28	24-May-2009 15:44:18	3513499	9986496	j.holmes@randatmail.com	H	S	MAILBOX_FULL			a.nelson@randatmail.com			n.cole@randatmail.com			21-Jun-2018 21:21:17
9	51487	1433450	99820536101		20-Nov-1993 12:49:04	10-Dec-2020 16:56:17	2573616	1936990	h.campbell@randatmail.com	H	S	MAILBOX_FULL			s.robinson@randatmail.com			m.brown@randatmail.com			10-Jul-2009 15:12:11
6	94509	3498637	4144991771		28-Sep-2004 20:32:16	13-Aug-2019 22:35:24	6626392	1070507	l.rogers@randatmail.com	H	S	MAILBOX_FULL			d.harper@randatmail.com			a.wilson@randatmail.com			01-Sep-2013 16:38:48
1	53459	4343410	15704516795		20-Jul-1998 23:20:20	13-Mar-2015 04:52:21	6288468	8144919	n.johnston@randatmail.com	H	S	MAILBOX_FULL			m.williams@randatmail.com			a.clark@randatmail.com			12-May-2008 04:34:19
1	55764	8358528	34772987789		03-Nov-2000 12:33:08	23-Jul-2003 14:16:47	7200416	7763830	a.phillips@randatmail.com	H	S	MAILBOX_FULL			m.smith@randatmail.com			c.russell@randatmail.com			09-Sep-2016 05:05:49
7	84474	6066140	98335098657		15-Jun-2005 14:59:56	27-Aug-2000 07:53:31	673525	8228721	a.elliott@randatmail.com	H	S	MAILBOX_FULL			m.roberts@randatmail.com			l.perkins@randatmail.com			19-Jun-2013 21:04:47
6	72282	7046298	70548481682		04-Apr-1992 05:46:10	08-Jun-2009 02:02:16	1974787	8999231	h.ellis@randatmail.com	H	S	MAILBOX_FULL			h.hawkins@randatmail.com			l.kelley@randatmail.com			28-Jun-2010 15:25:37
3	89404	5722023	36419568176		16-May-1997 23:14:17	10-Nov-2009 02:44:24	5660039	9528218	t.gray@randatmail.com	H	S	MAILBOX_FULL			l.casey@randatmail.com			l.kelley@randatmail.com			25-Feb-2003 12:53:58
6	90295	1835179	32680919683		08-Apr-2009 13:32:13	26-Jun-2009 09:17:08	1401964	9158663	b.harris@randatmail.com	H	S	MAILBOX_FULL			s.robinson@randatmail.com			e.baker@randatmail.com			26-Sep-2017 10:25:43
10	31	5011353	39873052491		24-May-2006 07:23:50	24-Mar-2013 01:08:50	7687531	4837550	p.richards@randatmail.com	H	S	MAILBOX_FULL			b.harris@randatmail.com			k.wilson@randatmail.com			09-Feb-2008 17:58:42
9	19966	6508247	70758413766		03-May-2009 22:00:38	09-Oct-2014 15:27:07	8204797	7883688	a.cole@randatmail.com	H	S	MAILBOX_FULL			a.barrett@randatmail.com			a.armstrong@randatmail.com			26-Mar-2017 12:51:55
3	30192	873540	46080121667		08-Jan-1996 05:11:43	26-Jul-2008 12:45:31	605892	6339886	j.ryan@randatmail.com	H	S	MAILBOX_FULL			a.anderson@randatmail.com			b.chapman@randatmail.com			01-Mar-2016 21:52:38
1	47110	3641054	45606977100		16-Apr-2000 15:35:15	21-Sep-2007 22:45:10	4960791	3659669	e.phillips@randatmail.com	H	S	MAILBOX_FULL			l.kelley@randatmail.com			a.owens@randatmail.com			25-Jun-2008 23:04:09
6	36144	8203141	27899923262		24-Oct-1991 22:25:11	08-Dec-2007 19:55:10	8998818	9002011	c.roberts@randatmail.com	H	S	MAILBOX_FULL			s.wright@randatmail.com			a.evans@randatmail.com			31-Aug-2017 08:06:48
3	53033	8525767	66037705258		31-Oct-1991 20:27:49	16-Nov-2004 01:40:29	1908070	3143220	e.casey@randatmail.com	H	S	MAILBOX_FULL			a.phillips@randatmail.com			j.barrett@randatmail.com			21-Oct-2021 15:51:07
10	18036	2564720	97638561153		14-Dec-2009 07:45:45	08-Jul-2004 16:19:34	9681747	1091696	a.brown@randatmail.com	H	S	MAILBOX_FULL			r.phillips@randatmail.com			b.carter@randatmail.com			26-Jun-2008 07:59:24
1	43082	5027373	68632592639		06-Dec-2003 03:11:48	22-Apr-2018 16:56:06	3392110	9618161	d.hall@randatmail.com	H	S	MAILBOX_FULL			m.anderson@randatmail.com			a.robinson@randatmail.com			10-Jun-2004 12:59:14
3	29031	3918864	58305587919		16-Nov-1999 15:03:02	17-Aug-2015 19:23:38	2125656	5375495	a.owens@randatmail.com	H	S	MAILBOX_FULL			a.tucker@randatmail.com			s.robinson@randatmail.com			28-Sep-2019 20:27:11
10	24458	4203793	3369482185		06-Feb-1994 03:34:14	04-Mar-2002 23:04:02	3596895	937670	d.hall@randatmail.com	H	S	MAILBOX_FULL			a.baker@randatmail.com			a.anderson@randatmail.com			14-Nov-2007 12:45:45
5	64258	2277902	58144338667		13-Jan-1990 17:48:40	12-Sep-2016 21:11:44	6554020	6541770	c.barnes@randatmail.com	H	S	MAILBOX_FULL			j.barrett@randatmail.com			f.parker@randatmail.com			25-Oct-2007 22:10:37
