aaa	bbb	ccc	ddd	eee	fff	ggg	hhh	abc	bbb	xxx	sss	qqq	CODE	zzz	rrr	ttt	ooo	iii	ppp	mmm
2	68170	8326907	9851499987	87174045	30-May-2008 04:06:17	02-Jun-2012 08:34:40	8216722	4167023	H	SP:Spam Complaint	v.gibson@randatmail.com	Comcast	a.ferguson@randatmail.com	6	a.riley@randatmail.com	29-Oct-2021 22:55:16			m.douglas@randatmail.com	
1	35211	5485819	66516096266	54951183	20-Jan-1994 17:26:22	22-May-2010 17:57:20	6902992	9795124	H	SP:Spam Complaint	j.brown@randatmail.com	Comcast	w.crawford@randatmail.com	5	h.hawkins@randatmail.com	21-Apr-2021 04:57:10			t.brown@randatmail.com	
6	56214	1462131	62575787735	71528167	24-May-2009 14:13:18	19-Jan-2012 08:13:54	9531516	4502508	H	SP:Spam Complaint	a.kelley@randatmail.com	Comcast	r.mitchell@randatmail.com	1	i.robinson@randatmail.com	04-Jan-2011 06:22:58			k.robinson@randatmail.com	
10	11704	3698683	43292650208	20104335	27-Mar-2003 09:56:59	12-May-2010 01:51:14	7563883	887294	H	SP:Spam Complaint	m.gray@randatmail.com	Comcast	a.carter@randatmail.com	8	v.mitchell@randatmail.com	16-May-2001 10:57:09			g.richardson@randatmail.com	
6	23962	6960316	28790007516	84451078	17-Oct-2003 05:36:18	28-Jul-2000 12:52:55	3502744	7591108	H	SP:Spam Complaint	f.harper@randatmail.com	Comcast	a.kelley@randatmail.com	7	r.phillips@randatmail.com	04-Aug-2000 21:28:49			t.morgan@randatmail.com	
2	23454	8490846	69909882602	15245563	17-Feb-2002 02:15:41	20-Feb-2021 22:18:26	2702041	8502321	H	SP:Spam Complaint	a.owens@randatmail.com	Comcast	e.phillips@randatmail.com	3	g.edwards@randatmail.com	24-Jul-2021 23:51:25			e.payne@randatmail.com	
6	55099	6237495	77909725580	91334252	10-Jun-2002 08:08:33	05-Jul-2021 19:56:44	5145133	9162662	H	SP:Spam Complaint	m.allen@randatmail.com	Comcast	d.perry@randatmail.com	6	l.perkins@randatmail.com	21-Jul-2013 03:45:41			t.brown@randatmail.com	
3	65168	8129559	63345634296	6413443	25-Oct-2009 09:00:57	31-Jan-2019 06:37:02	7878911	3547243	H	SP:Spam Complaint	h.sullivan@randatmail.com	Comcast	a.tucker@randatmail.com	8	a.andrews@randatmail.com	22-Dec-2008 19:13:15			f.gibson@randatmail.com	
10	57573	4707014	23266730100	67318050	02-Sep-2006 01:55:22	21-Sep-2014 19:27:01	2829950	2992803	H	SP:Spam Complaint	c.russell@randatmail.com	Comcast	i.perry@randatmail.com	7	l.perkins@randatmail.com	19-Oct-2017 13:35:52			l.gray@randatmail.com	
4	56139	8697821	23275634780	49642240	31-Mar-2009 17:43:32	09-May-2003 15:02:00	9781244	41091	H	SP:Spam Complaint	e.phillips@randatmail.com	Comcast	a.baker@randatmail.com	2	c.cole@randatmail.com	20-Jun-2016 08:23:57			c.cole@randatmail.com	
4	14622	5037526	17417603197	86187691	08-Sep-1999 09:43:10	22-Jun-2003 11:16:06	1870314	421981	H	SP:Spam Complaint	a.lloyd@randatmail.com	Comcast	i.cameron@randatmail.com	4	t.holmes@randatmail.com	19-Jul-2002 09:12:45			a.kelly@randatmail.com	
1	29640	8680600	82421620539	78177024	06-Nov-1991 18:58:31	03-Sep-2003 01:04:01	2698049	6366649	H	SP:Spam Complaint	f.russell@randatmail.com	Comcast	a.lloyd@randatmail.com	6	a.tucker@randatmail.com	15-Aug-2003 22:39:14			k.robinson@randatmail.com	
2	4625	4575083	96034688583	57552357	19-Jun-1997 15:43:47	01-Feb-2016 21:27:16	7667221	8303475	H	SP:Spam Complaint	a.tucker@randatmail.com	Comcast	a.barrett@randatmail.com	6	a.armstrong@randatmail.com	04-Aug-2021 01:10:16			f.carter@randatmail.com	
2	94161	7460544	30233112551	35859217	30-Sep-2008 07:55:58	06-Jun-2020 19:21:30	6365534	1504170	H	SP:Spam Complaint	j.elliott@randatmail.com	Comcast	j.barrett@randatmail.com	7	e.wilson@randatmail.com	24-Sep-2011 05:03:52			i.perry@randatmail.com	
2	2278	3357442	19501341175	75151572	06-Sep-2001 07:28:52	10-Sep-2000 21:21:21	7154567	2293624	H	SP:Spam Complaint	a.farrell@randatmail.com	Comcast	a.alexander@randatmail.com	3	h.ellis@randatmail.com	29-Apr-2012 13:35:11			a.owens@randatmail.com	
3	71286	4112744	41449324037	22859330	17-Mar-1992 03:54:45	21-Aug-2000 07:35:19	8381061	1332599	H	SP:Spam Complaint	e.phillips@randatmail.com	Comcast	h.hawkins@randatmail.com	3	l.gray@randatmail.com	12-Jun-2013 13:59:41			j.perkins@randatmail.com	
1	72121	2842852	41393842414	78844011	25-Apr-1995 14:31:14	18-Aug-2012 15:36:50	6363300	6421435	H	SP:Spam Complaint	c.owens@randatmail.com	Comcast	a.armstrong@randatmail.com	9	a.robinson@randatmail.com	12-Dec-2020 19:08:56			j.edwards@randatmail.com	
